Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
HSI 3/27/24 C18700,18700,1171,1215,1201,22.38051414,0,HSI 3/27/24 P18700,18700,1242,1348,1291,22.2304039,0
HSI 3/27/24 C18800,18800,1124,1169,1148,22.32435036,0,HSI 3/27/24 P18800,18800,1294,1399,1342,22.18587685,0
HSI 3/27/24 C18900,18900,1079,1122,1108,22.25508118,0,HSI 3/27/24 P18900,18900,1348,1452,1395,22.1544075,0
HSI 3/27/24 C19000,19000,1035,1074,1061,22.16641045,0,HSI 3/27/24 P19000,19000,1402,1501,1444,22.0687809,0
HSI 3/27/24 C19100,19100,991,1060,1011,22.36206627,0,HSI 3/27/24 P19100,19100,1458,1562,1507,22.08652306,0
HSI 3/27/24 C19200,19200,951,1016,966,22.30318832,0,HSI 3/27/24 P19200,19200,1502,1616,1560,21.91184998,0
HSI 3/27/24 C19300,19300,909,976,931,22.24179649,0,HSI 3/27/24 P19300,19300,1517,1632,1629,21.1065979,0
27-Jun-24 (301d); CSize 50,,,,,,,,,,,,,
HSI 6/27/24 C17400,17400,0,0,2204,0,0,HSI 6/27/24 P17400,17400,961,1006,984,23.43395233,0
HSI 6/27/24 C17500,17500,0,0,2141,0,0,HSI 6/27/24 P17500,17500,980,1047,1014,23.25549316,0
HSI 6/27/24 C17600,17600,0,0,2079,0,0,HSI 6/27/24 P17600,17600,1035,1084,1060,23.3232708,0
HSI 6/27/24 C17700,17700,0,0,2018,0,0,HSI 6/27/24 P17700,17700,1053,1122,1088,23.08323097,0
HSI 6/27/24 C17800,17800,1893,1945,1919,23.25278091,0,HSI 6/27/24 P17800,17800,1092,1164,1128,23.03601074,0
HSI 6/27/24 C17900,17900,1835,1886,1861,23.13966179,0,HSI 6/27/24 P17900,17900,1131,1205,1168,22.96120071,0
HSI 6/27/24 C18000,18000,1778,1827,1803,23.02071381,0,HSI 6/27/24 P18000,18000,1174,1245,1210,22.89555931,0
HSI 6/27/24 C18100,18100,1722,1771,1747,22.92101288,0,HSI 6/27/24 P18100,18100,1215,1289,1252,22.83138466,0
HSI 6/27/24 C18200,18200,1667,1716,1692,22.81906891,0,HSI 6/27/24 P18200,18200,1259,1334,1297,22.78274536,0
HSI 6/27/24 C18300,18300,1612,1659,1636,22.68936729,0,HSI 6/27/24 P18300,18300,1303,1382,1343,22.74288559,0
HSI 6/27/24 C18400,18400,1559,1606,1583,22.59164238,0,HSI 6/27/24 P18400,18400,1349,1428,1389,22.68815804,0
HSI 6/27/24 C18500,18500,1505,1563,1534,22.54824066,0,HSI 6/27/24 P18500,18500,1396,1477,1437,22.64925766,0
HSI 6/27/24 C18600,18600,1456,1561,1509,22.84043121,0,HSI 6/27/24 P18600,18600,1444,1528,1486,22.6183815,0
HSI 6/27/24 C18700,18700,1406,1509,1458,22.72856712,0,HSI 6/27/24 P18700,18700,1502,1576,1539,22.62590027,0
HSI 6/27/24 C18800,18800,1359,1460,1410,22.64794731,0,HSI 6/27/24 P18800,18800,1575,1616,1596,22.67168236,0
HSI 6/27/24 C18900,18900,1313,1412,1363,22.56809998,0,HSI 6/27/24 P18900,18900,1508,1613,1643,21.31609535,0
HSI 6/27/24 C19000,19000,1267,1365,1316,22.48147964,0,HSI 6/27/24 P19000,19000,1653,1766,1698,22.73448181,0
HSI 6/27/24 C19100,19100,1224,1320,1272,22.4177227,0,HSI 6/27/24 P19100,19100,0,0,1755,0,0
HSI 6/27/24 C19200,19200,1180,1276,1228,22.34117126,0,HSI 6/27/24 P19200,19200,0,0,1812,0,0
HSI 6/27/24 C19300,19300,1140,1232,1186,22.28001976,0,HSI 6/27/24 P19300,19300,0,0,1870,0,0
27-Sep-24 (393d); CSize 50,,,,,,,,,,,,,
HSI 9/27/24 C17400,17400,0,0,2381,0,0,HSI 9/27/24 P17400,17400,1184,1240,1211,23.49883652,0
HSI 9/27/24 C17500,17500,0,0,2319,0,0,HSI 9/27/24 P17500,17500,1221,1278,1250,23.41932297,0
HSI 9/27/24 C17600,17600,0,0,2258,0,0,HSI 9/27/24 P17600,17600,1261,1318,1290,23.3597393,0
HSI 9/27/24 C17700,17700,0,0,2198,0,0,HSI 9/27/24 P17700,17700,1304,1361,1333,23.3314991,0
HSI 9/27/24 C17800,17800,2024,2082,2075,23.42603683,0,HSI 9/27/24 P17800,17800,1345,1404,1375,23.27772522,0
HSI 9/27/24 C17900,17900,1968,2026,2019,23.31894684,0,HSI 9/27/24 P17900,17900,1390,1447,1417,23.24073792,0
HSI 9/27/24 C18000,18000,1914,1971,1963,23.22216797,0,HSI 9/27/24 P18000,18000,1434,1492,1462,23.19935036,0
HSI 9/27/24 C18100,18100,1860,1917,1908,23.12156105,0,HSI 9/27/24 P18100,18100,1480,1538,1508,23.16734886,0
HSI 9/27/24 C18200,18200,1808,1864,1854,23.03077888,0,HSI 9/27/24 P18200,18200,1526,1584,1554,23.12393188,0
HSI 9/27/24 C18300,18300,1756,1811,1801,22.92904472,0,HSI 9/27/24 P18300,18300,1571,1632,1602,23.0760479,0
HSI 9/27/24 C18400,18400,1699,1768,1749,22.85048103,0,HSI 9/27/24 P18400,18400,1622,1681,1650,23.06464767,0
HSI 9/27/24 C18500,18500,1653,1768,1711,23.12798691,0,HSI 9/27/24 P18500,18500,1669,1731,1700,23.02139473,0
HSI 9/27/24 C18600,18600,1603,1718,1661,23.02630424,0,HSI 9/27/24 P18600,18600,1711,1785,1748,22.96015739,0
HSI 9/27/24 C18700,18700,1556,1669,1613,22.94085121,0,HSI 9/27/24 P18700,18700,1776,1824,1800,22.94201088,0
